MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"NGC    31" "" "NGC    31|APMBGC 149-059+119|6dFGS gJ001038.4-565911|ESO 149-20|ESO-LV 149-0200|IRAS F00081-5715|LEDA     751|2MASX J00103838-5659114|SGC 000809-5715.8" "NGC 31" "" "" "00 10 38.384" "-56 59 11.41" Galaxy "" "" 0.0320300 ""
"NGC    35" "" "NGC    35|6dFGS gJ001110.5-120115|GSC 05264-00022|IRAS F00086-1217|IRAS 00086-1217|LEDA     784|2MASX J00111050-1201146|MBG 00086-1217|MCG-02-01-033|NPM1G -12.0011|PSCz Q00086-1217" "NGC 35" "" "" "00 11 10.506" "-12 01 14.62" Galaxy "" "" 0.0200960 ""
"NGC    36" "" "NGC    36|LEDA     798|2MASX J00112231+0623212|MCG+01-01-043|UGC   106|UZC J001122.3+062321|Z 408-40|Z 0008.8+0606|[HDL96] 408  66" "NGC 36" "" "" "00 11 22.317" "+06 23 21.28" "LINER-type Active Galaxy Nucleus" "" "" 0.0201030 ""
"NGC    37" "" "NGC    37|APMBGC 149-065+117|6dFGS gJ001122.9-565726|ESO 149-22|ESO-LV 149-0220|LEDA     801|2MASX J00112290-5657264|SGC 000855-5714.1|[CHM2007] LDC    7 J001122.90-5657264|[CHM2007] HDC    5 J001122.90-5657264" "NGC 37" "" "" "00 11 22.909" "-56 57 26.49" "Galaxy in Group of Galaxies" "" "" 0.0326100 ""
"NGC    38" "" "NGC    38|6dFGS gJ001147.0-053511|GSC 04670-00336|LEDA     818|2MASX J00114698-0535103|MCG-01-01-047" "NGC 38" "" "" "00 11 46.984" "-05 35 10.37" Galaxy "" "" 0.0268020 ""
"NGC    39" "" "NGC    39|IRAS F00097+3047|IRAS 00096+3046|ISOSS J00123+3103|LEDA     852|MAPS-PP O-1257-155807|2MASX J00121885+3103399|MCG+05-01-052|UGC   114|UZC J001218.9+310339|Z 499-76|Z 0009.7+3047|[CHM2007] HDC    6 J001218.85+3103399|[CHM2007] LDC    9 J001218.85+3103399|[SLK2004] 24" "NGC 39" "" "" "00 12 18.853" "+31 03 39.97" "Galaxy in Group of Galaxies" "" "" 0.0161650 ""
"NGC    40" "" "NGC    40|BWE 0010+7214|CSI+72-00102|DO 22918|EM* CDS   11|GB6 B0010+7214|87GB 001015.0+721426|GCRV   101|GSC2 N3101023112|GSC 04302-01297|HBHA 7208-01|HD    826|HIC   1041|HIP   1041|IRAS 00102+7214|KNOWS J001302+723123|2MASS J00130099+7231190|NVSS J001301+723119|48P 51|PK 120+09  1|PLX   31|PLX   31.00|PN G120.0+09.8|PN ARO    1|PN VV    1|PN VV'    3|RAFGL 5006|TYC 4302-1297-1|V* V400 Cep|WEB   179|WN B0010.2+7214|[FT96] 120.0+9.9|[KW97]  1-60|[VKN2011] J001301.0+723119" "NGC 40" "" "HD 826" "00 13 01.0101" "+72 31 19.094" "Planetary Nebula" [WC8] 5.100 -0.0000680 11.460000038146973
"NGC    41" "" "NGC    41|AGC 100086|IRAS F00102+2144|IRAS 00101+2144|KUG 0010+217|LEDA     865|2MASX J00124795+2201239|MCG+04-01-039|PSCz Q00101+2144|UZC J001248.1+220125|Z 478-42|Z 0010.2+2146|[CHM2007] LDC    8 J001247.95+2201239" "NGC 41" "" "" "00 12 47.952" "+22 01 23.96" "Galaxy in Group of Galaxies" "" "" 0.0197100 ""
"NGC    42" "" "NGC    42|LEDA     867|2MASX J00125636+2206009|MCG+04-01-041|NPM1G +21.0007|UGC   118|UZC J001256.4+220601|Z 478-43|Z 0010.3+2150|[CHM2007] LDC    8 J001256.36+2206009" "NGC 42" "" "" "00 12 56.361" "+22 06 01.00" "Galaxy in Group of Galaxies" "" "" 0.0199270 ""
"NGC    43" "" "NGC    43|LEDA     875|MAPS-PP O-1257-156060|2MASX J00130073+3054551|MCG+05-01-054|UGC   120|UZC J001300.8+305454|Z 499-79|Z 0010.4+3039|[CHM2007] HDC    6 J001300.73+3054551|[CHM2007] LDC    9 J001300.73+3054551" "NGC 43" "" "" "00 13 00.735" "+30 54 55.18" "Galaxy in Group of Galaxies" "" "" 0.0159380 ""
