MAIN_ID ID_NAME ID_HD ID_NGC RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"G 133-60" "" "" "" "02 00 02.8219" "+43 45 28.267" "High proper-motion Star" M2.5 "" 0.1017080 12.982000350952148
"G 133-61" "" "" "" "02 00 07.42" "+36 39 48.1" "High proper-motion Star" M3.5 45.300 0.0230790 13.958999633789062
"LP   30-55" "" "" "" "02 01 54.0702" "+73 32 32.050" "Flare Star" M4.5Ve "" "" 14.064000129699707
"G 244-47" "" "" "" "02 01 35.3404" "+63 46 12.022" "High proper-motion Star" M2.5Ve 84.540 "" 10.949999809265137
"GJ  3127" "" "" "" "02 00 47.260" "-10 21 20.98" "Flare Star" M3.5 "" "" 14.11299991607666
"LP  469-67" "" "" "" "02 02 16.209" "+10 20 13.69" "High proper-motion Star" M5.5V 112.000 0.0000570 15.609999656677246
"GJ  3129" "" "" "" "02 02 44.28" "+13 34 33.6" "Flare Star" M5V 41.400 -0.0000430 14.277000427246094
"V* XX Tri" "" "HD 12545" "" "02 03 47.1142" "+35 35 28.667" "Variable of RS CVn type" K0III 5.340 -0.0000880 8.420000076293945
"BD-21   368" "" "" "" "02 03 20.7420" "-21 13 43.332" "High proper-motion Star" M2:V 46.630 "" 11.177000045776367
"G 159-34" "" "" "" "02 04 27.55" "-01 52 56.1" "High proper-motion Star" M4.48 "" -0.0001280 13.79699993133545
"V* FN Cet" "" "HD 12786" "" "02 04 59.3267" "-15 40 41.173" "Variable of BY Dra type" K0V 37.330 0.0000370 7.769999980926514
"GJ  3134" "" "" "" "02 07 10.3417" "+64 17 11.377" "Flare Star" M4.5 56.700 0.0131620 14.480999946594238
"CD-30   731" "" "" "" "02 05 48.5547" "-30 10 35.898" "High proper-motion Star" M2.5+V 107.810 0.0001230 12.166999816894531
"GJ  3136" "" "" "" "02 08 53.6225" "+49 26 56.474" "Flare Star" M4.0V "" -0.0000270 12.451000213623047
"G 265-15" "" "" "" "02 29 19.11" "+88 24 13.0" "High proper-motion Star" M3.5 "" "" 12.869999885559082
"BD-17   400" "" "" "" "02 09 10.9012" "-16 20 22.528" "High proper-motion Star" K9Vk: 35.110 0.0000100 10.876999855041504
"L  728-1" "" "" "" "02 09 36.1355" "-14 21 32.664" "High proper-motion Star" M2.5V 50.680 0.0000590 11.770000457763672
"GJ  3140" "" "" "" "02 10 13.51" "+11 31 59.8" Star M4III "" "" 12.720000267028809
"L  125-51" "" "" "" "02 11 18.1916" "-63 13 40.519" "High proper-motion Star" M2.5 71.530 0.0031840 ""
"GJ  3142" "" "" "" "02 12 54.582" "+00 00 16.77" "Flare Star" M4V 100.000 0.0001000 13.579999923706055
"GJ  3143" "" "" "" "02 15 34.38" "+33 57 41.8" "Flare Star" M3.5 "" 0.0757770 13.581000328063965
"GD 25" "" "" "" "02 16 16.37" "+39 51 25.6" "White Dwarf" DA5.4 "" "" 14.539999961853027
"L  800-18" "" "" "" "02 15 48.83" "-12 40 27.7" "High proper-motion Star" M3.5 "" "" 12.991000175476074
"GJ  3146" "" "" "" "02 16 29.8804" "+13 35 12.389" "Flare Star" M5.0Ve 108.300 0.1207860 15.803999900817871
"LP  245-10" "" "" "" "02 17 09.932" "+35 26 33.02" "Flare Star" M7V 96.400 -0.0000130 15.989999771118164
"CD-31   909" "" "" "" "02 16 41.1976" "-30 59 18.226" "Flare Star" M3Ve 73.770 0.0000620 12.027000427246094
"CD-31   908" "" "" "" "02 16 35.107" "-30 58 07.34" "Flare Star" M4 "" "" 13.149999618530273
"GJ  3150" "" "" "" "02 19 02.29" "+23 52 55.1" "Flare Star" M3.6V 48.600 0.0000520 14.069999694824219
"G  74-15" "" "" "" "02 20 25.243" "+37 47 30.72" "High proper-motion Star" M2.5Ve "" "" 12.690999984741211
"G  74-15B" "" "" "" "02 20 25.444" "+37 47 30.63" "White Dwarf" DA "" 0.0000190 14.699999809265137
"GJ  3153" "" "" "" "02 20 46.259" "+02 58 37.54" "Flare Star" M6V 54.800 0.0000330 14.779999732971191
"HD  14629" "" "HD 14629" "" "02 20 42.9278" "-39 02 01.427" "High proper-motion Star" K3.5Vk: 39.450 "" 8.739999771118164
"HD  14635" "" "HD 14635" "" "02 21 44.4172" "-06 52 46.311" "High proper-motion Star" K4-V 36.170 0.0000880 9.050000190734863
"LP  353-74" "" "" "" "02 24 46.1090" "+25 58 34.306" "High proper-motion Star" M0V "" "" 11.593000411987305
"GJ  3157" "" "" "" "02 25 38.42" "+37 32 34.0" "Flare Star" M4 46.200 "" 13.991000175476074
"LHS  1407" "" "" "" "02 28 09.88" "+03 10 57.6" "High proper-motion Star" M6 49.300 "" 17.540000915527344
"G  75-16" "" "" "" "02 28 17.12" "+01 26 31.0" "High proper-motion Star" M3 "" "" 12.949999809265137
"GJ  3160" "" "" "" "02 28 54.6790" "+12 05 20.964" "High proper-motion Star" M2.5Ve 39.920 "" 12.043999671936035
"*  29 Ari" "" "HD 15814" "" "02 32 54.1412" "+15 02 04.393" "Spectroscopic binary" F8V 33.400 0.0000300 5.98799991607666
"EGGR 471" "" "" "" "02 32 37.90" "-14 11 50.8" "White Dwarf" DC9 64.600 "" 15.760000228881836
"HD  15833" "" "HD 15833" "" "02 32 58.9061" "+07 53 17.686" Star G5 2.900 0.0000510 8.899999618530273
"G  74-29" "" "" "" "02 34 00.02" "+41 46 49.0" "High proper-motion Star" M3 49.700 "" 13.61299991607666
"G  73-66" "" "" "" "02 33 47.4762" "+15 00 17.402" "High proper-motion Star" M3 43.700 0.0378970 13.755999565124512
"GJ  3166" "" "" "" "02 35 22.5985" "+23 34 30.619" "Flare Star" M3.5 "" 0.0273150 13.61400032043457
"HD  16348" "" "HD 16348" "" "02 32 58.9305" "-72 41 14.747" "High proper-motion Star" K3.5Vk: 43.350 "" 8.8149995803833
"G 173-61" "" "" "" "02 36 27.0916" "+55 28 34.287" "High proper-motion Star" M3 "" -0.0001170 13.234000205993652
"G  74-34A" "" "" "" "02 36 47.81" "+32 04 20.5" "High proper-motion Star" M3.5 65.200 "" 12.987000465393066
"G  74-34B" "" "" "" "02 36 47.861" "+32 04 23.07" "High proper-motion Star" M3 "" "" ""
"GJ  3171" "" "" "" "02 37 06.528" "+06 54 56.10" "Flare Star" M5 "" "" 16.0
"GJ  3172" "" "" "" "02 37 29.714" "+00 21 27.33" "Flare Star" M5V 40.600 0.0000770 15.15999984741211
"PG 0235+064" "" "" "" "02 38 30.920" "+06 37 59.94" "White Dwarf" DA3.5 "" "" 15.09000015258789
"GJ  3174" "" "" "" "02 39 17.35" "+07 28 17.0" "Flare Star" M3.7V 49.300 0.0000050 14.218000411987305
"HD  16673" "" "HD 16673" "" "02 40 12.4215" "-09 27 10.361" "High proper-motion Star" F8VFe-0.4 45.960 -0.0000080 5.789999961853027
"LHS  1434" "" "" "" "02 42 56.1975" "-38 56 12.031" "High proper-motion Star" M3 "" "" 13.199999809265137
"HD  17169" "" "HD 17169" "" "02 44 12.9829" "-36 18 26.741" Star G2V 12.970 0.0000370 7.119999885559082
"G  78-4" "" "" "" "02 45 39.6784" "+44 56 55.531" "High proper-motion Star" M0.5Ve 41.810 0.0000930 10.800000190734863
"LP  197-48" "" "" "" "02 45 41.19" "+44 57 03.1" "Flare Star" M5.0 "" "" 15.0
"LP  651-7" "" "" "" "02 46 14.78" "-04 59 18.2" "High proper-motion Star" M6 61.000 "" 16.219999313354492
"LP  411-6" "" "" "" "02 46 34.861" "+16 25 11.60" "High proper-motion Star" M6.0V 69.200 "" 16.93000030517578
"EGGR 473" "" "" "" "02 48 36.44" "+54 23 22.5" "White Dwarf" DAZ9 97.000 "" 15.5
"GJ  3183" "" "" "" "02 51 49.7148" "+29 29 12.834" "Flare Star" M4V 44.100 -0.0000670 13.98900032043457
"LHS  5061" "" "" "" "02 51 50.6556" "+06 13 41.542" "High proper-motion Star" M3 "" "" 13.22700023651123
"BD+60   585" "" "" "" "02 53 18.5004" "+60 51 11.695" "High proper-motion Star" K3V 27.750 -0.0002280 9.199999809265137
"G  36-38" "" "" "" "02 52 25.0319" "+26 58 29.912" "High proper-motion Star" M2V 36.160 -0.0000400 11.04800033569336
"HD  17970" "" "HD 17970" "" "02 52 19.6886" "-33 27 02.290" "High proper-motion Star" K2V 39.410 0.0002190 8.09000015258789
"HD  17948" "" "HD 17948" "" "02 55 56.9211" "+61 31 16.091" "High proper-motion Star" F5V 37.440 0.0000950 5.584000110626221
"L  802-6" "" "" "" "02 58 10.21" "-12 53 06.7" "High proper-motion Star" sdM3.0 95.500 0.0003150 12.668999671936035
"Ross  331" "" "" "" "02 59 10.60" "+36 36 40.3" "High proper-motion Star" M3.66 53.000 0.0000320 13.071999549865723
"LP  298-52" "" "" "" "02 59 16.70" "+31 46 24.6" "High proper-motion Star" M3.36 "" 0.0000670 13.45300006866455
"BD-17   588B" "" "" "" "03 01 51.077" "-16 35 30.67" "High proper-motion Star" M2.5V "" "" 10.399999618530273
"BD-17   588A" "" "" "" "03 01 51.3860" "-16 35 35.894" "Flare Star" M3.0 148.510 "" 10.529000282287598
"HD  18757" "" "HD 18757" "" "03 04 09.6376" "+61 42 20.989" "High proper-motion Star" G1.5V 42.730 -0.0000080 6.670000076293945
"GJ  3195" "" "" "" "03 04 43.35" "+61 44 09.7" "High proper-motion Star" M2.5V 36.200 -0.0000030 12.5
"LP  711-43" "" "" "" "03 03 40.71" "-12 50 31.7" "High proper-motion Star" M3 "" 0.0000530 13.532999992370605
"LP  711-44" "" "" "" "03 03 47.83" "-12 51 19.1" "High proper-motion Star" M3 "" "" 13.380999565124512
"LP  771-77" "" "" "" "03 04 04.524" "-20 22 43.40" "High proper-motion Star" M3.5 "" "" 12.887999534606934
"BD+39   710" "" "" "" "03 06 51.3428" "+40 21 33.539" "Variable of BY Dra type" K6 36.630 -0.0001700 9.630000114440918
"HD  19467" "" "HD 19467" "" "03 07 18.5748" "-13 45 42.419" "High proper-motion Star" G3V 31.500 0.0000230 7.0
"LHS  1499" "" "" "" "03 08 23.71" "+43 02 08.6" "High proper-motion Star" M4V 37.100 0.0000500 14.699999809265137
"MCC 413" "" "" "" "03 07 33.7862" "-03 58 17.144" "Double or multiple star" K7V 18.290 -0.0001700 10.857999801635742
"V* AE For" "" "" "" "03 08 06.6617" "-24 45 34.742" "Eclipsing binary of Algol type" K7Ve 31.800 0.0005050 10.1899995803833
"G 246-26" "" "" "" "03 10 26.5101" "+58 26 08.611" "High proper-motion Star" M2.0Ve "" "" 11.600000381469727
"V* EK Cet" "" "" "" "03 10 15.4722" "+05 54 31.471" "Variable of BY Dra type" M2.5Ve 55.410 0.0000140 11.847000122070312
"BD+60   637" "" "" "" "03 11 56.8308" "+61 31 13.010" "Double or multiple star" M0.0Ve 24.630 -0.0000280 10.052000045776367
"LHS  1513" "" "" "" "03 11 35.20" "-38 47 23.4" "High proper-motion Star" MV "" "" 13.746000289916992
"LHS  1516" "" "" "" "03 14 12.42" "+28 40 41.2" "High proper-motion Star" M6 78.900 "" 16.770000457763672
"Ross  346" "" "" "" "03 14 44.9008" "+48 31 11.018" "High proper-motion Star" M1.5Ve 40.250 "" 11.458000183105469
"L  227-140" "" "" "" "03 12 46.682" "-54 06 29.78" "High proper-motion Star" F5V "" "" 14.729999542236328
"GJ  3211" "" "" "" "03 14 20.3938" "+00 39 12.574" Star G3 1.260 "" 10.979999542236328
"GJ  3212" "" "" "" "03 14 36.763" "-09 40 02.71" "High proper-motion Star" M0 "" "" 11.609000205993652
"G  78-28" "" "" "" "03 17 12.2092" "+45 22 22.154" "High proper-motion Star" M3.0Ve "" 0.0000170 12.390000343322754
"Ross  371" "" "" "" "03 18 42.6750" "+60 36 27.241" "High proper-motion Star" M3.43 "" 0.0000970 13.284000396728516
"LHS  1525" "" "" "" "03 17 45.2375" "+25 15 06.329" "High proper-motion Star" M2.5V 46.290 -0.0000460 11.779000282287598
"LP  299-53" "" "" "" "03 18 38.3240" "+32 39 56.870" "High proper-motion Star" M1.0Ve 39.530 -0.0000010 11.321000099182129
"HD 232781" "" "HD 232781" "" "03 21 54.7565" "+52 19 53.481" "High proper-motion Star" K3.5V 41.820 -0.0001340 9.045999526977539
"G  77-46" "" "" "" "03 21 46.9213" "-06 40 24.179" "High proper-motion Star" M2V 57.880 0.0000860 11.314000129699707
"LP  355-64" "" "" "" "03 22 28.1400" "+27 09 21.792" "Rotationally variable Star" K7V 31.780 0.0000270 11.019000053405762
"LP  355-65" "" "" "" "03 22 48.56" "+27 08 35.8" "White Dwarf" DA "" "" 18.0
"GJ  3221" "" "" "" "03 23 22.4239" "+11 41 13.409" "Flare Star" M3.5V 54.800 "" 12.20199966430664
"HD  21175" "" "HD 21175" "" "03 23 35.2704" "-40 04 35.027" "High proper-motion Star" K0V 57.400 0.0000460 6.9029998779296875
"EGGR 566" "" "" "" "03 25 11.03" "-01 49 14.0" "White Dwarf" DAZ "" "" 16.219999313354492
"GJ  3224" "" "" "" "03 25 42.25" "+05 51 51.9" "Flare Star" M4.5 48.500 "" 14.8100004196167
"GJ  3225" "" "" "" "03 26 44.955" "+19 14 40.29" "Flare Star" M4.5V 52.100 "" 14.960000038146973
"GJ  3226" "" "" "" "03 27 38.0958" "+09 56 05.964" "High proper-motion Star" K7.5Ve "" "" 10.75
"GJ  3227" "" "" "" "03 28 49.5690" "+26 29 12.348" "Flare Star" M4V 66.700 0.0000030 13.423999786376953
"LP  772-72" "" "" "" "03 28 38.93" "-15 37 17.1" "Flare Star" M3.5 "" "" 14.348999977111816
"LP  772-73" "" "" "" "03 28 39.12" "-15 37 33.3" "Flare Star" M3.5 "" "" 14.369999885559082
"HD  21663" "" "HD 21663" "" "03 30 30.4331" "+20 06 11.789" "High proper-motion Star" G5V 26.830 0.0000850 8.300000190734863
"HD  21663B" "" "HD 21663B" "" "03 30 31.221" "+20 05 55.18" "Double or multiple star" K6/7 62.400 0.0000900 10.75
"HD  21663B" "" "HD 21663B" "" "03 30 31.221" "+20 05 55.18" "Double or multiple star" K6/7 62.400 0.0000900 10.75
"HD  21809" "" "HD 21809" "" "03 32 19.8022" "+38 03 43.640" "High proper-motion Star" G5 "" 0.0000540 7.269999980926514
"LHS  1562" "" "" "" "03 34 57.052" "+28 15 27.18" "High proper-motion Star" M5.0V 31.700 "" 16.670000076293945
"L  876-3" "" "" "" "03 34 39.59" "-04 50 32.9" "High proper-motion Star" M3.87 "" 0.0000560 13.032999992370605
"GJ  3236" "" "" "" "03 37 14.08" "+69 10 49.8" "Spectroscopic binary" M3.8+M4.4 27.700 0.0000570 14.20199966430664
"GJ  3237" "" "" "" "03 36 40.8367" "+03 29 19.540" "Flare Star" M5V "" 0.0000500 13.944000244140625
"LP  995-48" "" "" "" "03 36 06.70" "-40 59 53.8" "High proper-motion Star" M3 "" "" 13.027999877929688
"GJ  3239" "" "" "" "03 37 33.32" "+17 51 14.6" "Spectroscopic binary" M2.5V "" 0.0001340 12.739999771118164
"GJ  3240" "" "" "" "03 37 33.87" "+17 51 00.5" "Flare Star" M3.5V "" 0.0001280 13.289999961853027
"Wolf 1246" "" "" "" "03 39 29.7132" "+24 58 02.549" "Flare Star" M3.5V 52.000 "" 12.871000289916992
"Wolf  204" "" "" "" "03 39 36.21" "+25 28 20.3" "High proper-motion Star" M3.0Ve "" "" 12.710000038146973
"L   91-140" "" "" "" "03 38 09.976" "-68 56 46.06" "High proper-motion Star" M2.5 "" 0.0001500 11.949999809265137
"HD  22918" "" "HD 22918" "" "03 40 47.4325" "-02 19 57.663" "Red Giant Branch star" K1V 20.590 0.0001440 6.949999809265137
"Wolf 1057" "" "" "" "03 42 29.34" "+12 31 36.9" "High proper-motion Star" sdM1.5 44.500 -0.0001990 12.840999603271484
"HD  23295" "" "HD 23295" "" "03 41 44.4091" "-51 25 32.493" "High proper-motion Star" K3.5Vk: 27.010 0.0001330 9.069999694824219
"G 160-19" "" "" "" "03 43 22.046" "-09 33 51.26" "High proper-motion Star" M4.5V 50.840 "" 14.59000015258789
"LHS  1596" "" "" "" "03 48 38.2254" "+73 32 35.186" "High proper-motion Star" M1V 63.110 "" 11.029999732971191
"L  805-8" "" "" "" "03 46 45.38" "-11 17 42.3" "High proper-motion Star" M2.5 "" "" 12.663999557495117
"LHS  1593" "" "" "" "03 47 20.913" "+08 41 46.44" "High proper-motion Star" M5V 79.700 0.0000170 14.581999778747559
"G 246-50" "" "" "" "03 50 33.7090" "+63 27 18.561" "High proper-motion Star" M1.5Ve 25.730 -0.0000110 11.401000022888184
"LP  593-68" "" "" "" "03 51 00.047" "-00 52 45.28" "Flare Star" M8.0V 68.100 -0.0000370 18.020000457763672
"Wolf  227" "" "" "" "03 52 41.69" "+17 01 05.7" "Spectroscopic binary" M5V 101.570 0.0000930 13.854999542236328
"HD  24365" "" "HD 24365" "" "03 53 37.7453" "+28 08 53.209" "High proper-motion Star" G8V 10.300 0.0000650 7.869999885559082
"HD  24496" "" "HD 24496" "" "03 54 28.0334" "+16 36 57.795" "High proper-motion Star" G7V 48.950 0.0000630 6.809999942779541
"GJ  3256" "" "" "" "03 54 25.6211" "-09 09 31.028" "High proper-motion Star" M3 "" "" 11.229999542236328
"HD  24409" "" "HD 24409" "" "03 56 11.5195" "+59 38 30.799" "Double or multiple star" G3V 45.490 -0.0000650 6.548999786376953
"HD  24892" "" "HD 24892" "" "03 56 28.6676" "-25 10 52.830" "High proper-motion Star" K0VFe-1.2CH-0.9 24.610 0.0001520 6.880000114440918
"G   7-16" "" "" "" "04 00 26.681" "+08 14 06.90" "White Dwarf" DC9 56.700 "" 15.890000343322754
"GJ  3260" "" "" "" "04 00 40.1216" "-23 04 52.584" "High proper-motion Star" M0 "" "" 11.430999755859375
"GJ  3261" "" "" "" "04 05 38.89" "+05 44 40.8" "Flare Star" M3.5 "" "" 12.810999870300293
"G 222-1" "" "" "" "04 13 55.9007" "+82 55 06.990" "High proper-motion Star" M0.0Ve 28.270 0.0000230 10.751999855041504
"LHS  1630" "" "" "" "04 07 20.49" "-24 29 13.0" "High proper-motion Star" M3.5 "" "" 12.380000114440918
"V* EI Eri" "" "HD 26337" "" "04 09 40.8941" "-07 53 34.242" "Variable of RS CVn type" G3V 16.830 0.0000590 7.039999961853027
"Ross   27" "" "" "" "04 11 13.11" "+49 31 52.5" "High proper-motion Star" M3.5 44.000 0.1711140 13.402999877929688
"GJ  3266" "" "" "" "04 12 17.0316" "+64 43 55.713" "Flare Star" M4 84.500 "" 13.70300006866455
"HD  26018" "" "HD 26018" "" "04 15 13.7167" "+76 17 16.842" "High proper-motion Star" G5 36.960 0.0000260 8.170000076293945
"LHS  1639" "" "" "" "04 12 47.48" "-53 52 04.3" "High proper-motion Star" M3.5 "" "" 13.869999885559082
"HD 285590" "" "HD 285590" "" "04 15 33.6880" "+15 42 22.562" "High proper-motion Star" K7 22.140 0.0001300 10.930999755859375
"GJ  3270" "" "" "" "04 17 18.52" "+08 49 22.1" "Flare Star" M5V 67.400 0.0000470 13.84000015258789
"G 248-19" "" "" "" "04 21 57.50" "+75 08 28.5" "High proper-motion Star" M3.0Ve "" "" 12.430000305175781
"LHS  1654" "" "" "" "04 18 04.71" "-49 01 30.0" "High proper-motion Star" M3.5 "" "" 13.199999809265137
"HD  27456" "" "HD 27456" "" "04 22 37.5683" "+51 56 29.711" "High proper-motion Star" G5 17.530 0.0000340 7.71999979019165
"G   8-29" "" "" "" "04 21 50.0784" "+21 19 42.853" "High proper-motion Star" M3.5 "" "" 13.03499984741211
"GJ  3275" "" "" "" "04 22 08.2462" "+19 15 21.939" "Flare Star" M3 28.160 "" 12.550000190734863
"2MASS J04221413+1530525" "" "" "" "04 22 14.132" "+15 30 52.52" "Brown Dwarf (M<0.08solMass)" M6: 24.800 "" 17.0
"HD  27733" "" "HD 27733" "" "04 22 58.9176" "+09 24 11.462" "High proper-motion Star" G5 10.400 -0.0000580 8.029999732971191
"Cl* Melotte   25     VR       8" "" "" "" "04 23 59.1379" "+16 43 17.703" "High proper-motion Star" M0V 49.000 "" 12.513999938964844
"LHS  1665" "" "" "" "04 22 12.5473" "-57 26 00.460" "High proper-motion Star" M2.5 "" "" ""
"G  39-11" "" "" "" "04 24 49.169" "+32 26 58.06" "High proper-motion Star" M2.5Ve "" "" 12.347000122070312
"HD 285742" "" "HD 285742" "" "04 25 00.2398" "+16 59 05.577" "Variable of BY Dra type" K4V 39.000 0.0001310 10.248000144958496
"GJ  3282" "" "" "" "04 25 15.092" "+08 02 55.77" "Flare Star" M2.5 "" "" 12.630000114440918
"GJ  3283" "" "" "" "04 25 16.916" "+08 04 03.95" "Flare Star" M4 "" "" 14.970000267028809
"LP  415-1458" "" "" "" "04 25 49.2417" "+15 31 16.476" "High proper-motion Star" M0 52.000 "" 12.17199993133545
"EGGR 169" "" "" "" "04 25 53.73" "+12 11 48.5" "White Dwarf" DA8 "" "" 15.4399995803833
"L  374-6" "" "" "" "04 24 56.196" "-40 02 46.91" "Flare Star" M3 "" "" 14.057999610900879
"GJ  3287" "" "" "" "04 27 41.30" "+59 35 16.7" "Flare Star" M3.8V 44.500 0.0000570 14.437999725341797
"EGGR 482" "" "" "" "04 26 20.70" "+04 32 30.5" "White Dwarf" DC9 "" "" 17.110000610351562
"GJ  3289" "" "" "" "04 26 19.92" "+03 36 35.9" "Flare Star" M6.5V 58.400 "" 18.31999969482422
"GJ  3290" "" "" "" "04 27 16.6389" "+17 14 30.653" "High proper-motion Star" M1.5 51.000 "" 13.064000129699707
"LHS  1671" "" "" "" "04 27 53.52" "+11 46 54.8" "High proper-motion Star" M4.24 39.800 0.0000920 13.8100004196167
"G  83-13" "" "" "" "04 29 18.47" "+14 13 59.5" "High proper-motion Star" M4 "" -0.0775460 13.59000015258789
"GJ  3293" "" "" "" "04 28 35.72" "-25 10 08.9" "High proper-motion Star" M2.5 "" 0.0027580 11.961999893188477
"V* V484 Tau" "" "" "" "04 30 23.952" "+17 29 59.14" "Flare Star" M3.5 63.000 "" 14.520000457763672
"V* MS Cam" "" "HD 28495" "" "04 33 54.2601" "+64 37 59.749" "Variable of BY Dra type" G0V 39.370 -0.0000320 7.75
"G   8-41" "" "" "" "04 33 33.966" "+20 44 45.83" "Flare Star" M5V 73.400 -0.0000070 14.529999732971191
"G  39-24" "" "" "" "04 34 15.93" "+34 49 31.6" "High proper-motion Star" M1.5 37.100 "" 13.118000030517578
"HD  29086" "" "HD 29086" "" "04 33 09.3430" "-36 56 45.774" Star K3Vk: 40.360 "" 8.760000228881836
"HD 276666" "" "HD 276666" "" "04 34 53.1126" "+39 08 30.174" "Double or multiple star" K5 26.820 -0.0000170 9.109999656677246
"HD  29231" "" "HD 29231" "" "04 34 38.4968" "-35 39 28.987" "High proper-motion Star" G9V 35.520 -0.0000330 7.599999904632568
"BD+16   630" "" "" "" "04 36 00.088" "+16 32 26.76" "Double or multiple star" K4 42.600 "" 10.710000038146973
"LHS  1686" "" "" "" "04 36 39.35" "+11 13 17.4" "High proper-motion Star" M4 40.400 "" 14.300000190734863
"L  591-70" "" "" "" "04 36 56.19" "-29 03 28.0" "High proper-motion Star" M3.5 "" "" 13.692999839782715
"GJ  3304" "" "" "" "04 38 12.559" "+28 13 00.11" "Flare Star" M4.5V 82.500 0.0001190 12.550000190734863
"GJ  3304 A" "" "" "" "04 38 12.56" "+28 13 00.1" "High proper-motion Star" M4.0 53.000 0.0001190 ""
"GJ  3304 B" "" "" "" "04 38 12.51" "+28 13 00.5" "High proper-motion Star" M4.5 "" "" ""
"GJ  3305" "" "" "" "04 37 37.467" "-02 29 28.45" "T Tau-type Star" M1.1V "" 0.0000720 10.59000015258789
"EGGR  41" "" "" "" "04 37 47.390" "-08 49 08.93" "White Dwarf" DQ8 105.100 "" 14.100000381469727
"GJ  3307" "" "" "" "04 40 42.497" "+02 13 52.20" "High proper-motion Star" M2.0Ve "" "" 11.215999603271484
"GJ  3308" "" "" "" "04 43 23.723" "+19 02 09.45" Star "" 40.300 "" 13.899999618530273
"HD 283779" "" "HD 283779" "" "04 44 26.04" "+27 51 44.6" "High proper-motion Star" M1.5Ve "" "" 11.187000274658203
"G  86-7" "" "" "" "04 44 37.36" "+29 49 16.4" "High proper-motion Star" M2.5 "" 0.0683000 13.369000434875488
"LHS   197" "" "" "" "04 46 18.496" "+48 44 51.89" "High proper-motion Star" M6.0V 52.300 "" 17.290000915527344
"HD  30090" "" "HD 30090" "" "04 46 26.9212" "+42 20 54.817" "High proper-motion Star" G3IV+F6V 14.910 0.0000790 6.53000020980835
"G  82-48" "" "" "" "04 47 11.7574" "+02 09 39.725" "High proper-motion Star" M0V 38.630 "" 11.3100004196167
"HD  30523" "" "HD 30523" "" "04 48 01.1415" "-10 56 01.125" "High proper-motion Star" K5Vk 37.670 0.0000910 9.430000305175781
"G  96-4" "" "" "" "04 50 15.266" "+45 58 50.15" "High proper-motion Star" M1 "" "" 11.789999961853027
"GJ  3316" "" "" "" "04 50 50.442" "+26 07 26.77" "High proper-motion Star" M2.5 "" "" 12.835000038146973
"HD  30876" "" "HD 30876" "" "04 49 52.3318" "-35 06 27.470" "High proper-motion Star" K2V 56.410 0.0000820 7.494999885559082
"BD-20   958" "" "" "" "04 53 55.5559" "-20 32 20.117" "Double or multiple star" K7V 24.320 0.0002050 10.104999542236328
"HD  31392" "" "HD 31392" "" "04 54 04.2085" "-35 24 16.265" "High proper-motion Star" G9V 38.810 0.0000990 7.610000133514404
"Ross  794" "" "" "" "05 01 15.5265" "+24 52 24.525" "High proper-motion Star" M2.0Ve 44.520 "" 11.532999992370605
"GJ  3321" "" "" "" "05 01 50.5723" "+03 45 55.239" "High proper-motion Star" M1.5Ve 53.230 "" 11.300999641418457
"LP  476-207" "" "" "" "05 01 58.7941" "+09 58 59.285" "Double or multiple star" M3.5V 30.120 0.0000500 11.529999732971191
"LP  656-38" "" "" "" "05 01 57.469" "-06 56 45.92" "High proper-motion Star" M4.0Ve 187.920 0.0001310 12.196000099182129
"HD  32387" "" "HD 32387" "" "05 03 51.9637" "+24 58 22.153" "High proper-motion Star" G8V 13.770 0.0001820 7.429999828338623
"LP  776-46" "" "" "" "05 03 20.0855" "-17 22 24.742" "High proper-motion Star" M3V 108.610 0.0000510 11.734999656677246
"GJ  3326" "" "" "" "05 04 14.76" "+11 03 23.8" "Flare Star" M5V 97.300 -0.0000070 13.748000144958496
"GJ  3327" "" "" "" "05 05 11.806" "-12 00 28.56" "Flare Star" M3 "" "" 12.857000350952148
"G  97-18" "" "" "" "05 06 04.02" "+04 20 14.3" "High proper-motion Star" M0V "" "" 11.517999649047852
"LP  777-1" "" "" "" "05 05 52.44" "-17 22 44.1" "White Dwarf" DAH9 46.200 "" 15.970000267028809
"HD  32850" "" "HD 32850" "" "05 06 42.2169" "+14 26 46.445" "High proper-motion Star" G9V 42.240 0.0000960 7.728000164031982
"BD-21  1074A" "" "" "" "05 06 49.9169" "-21 35 09.114" "Flare Star" M2 50.660 0.0000710 10.40999984741211
"BD-21  1074B" "" "" "" "05 06 49.47" "-21 35 03.8" "Double or multiple star" M3? 50.530 0.0000790 11.079999923706055
"Wolf  230" "" "" "" "05 07 49.241" "+17 58 58.41" "High proper-motion Star" M2V "" "" 11.809000015258789
"*  13 Ori" "" "HD 33021" "" "05 07 38.3134" "+09 28 18.411" "High proper-motion Star" G1IV 36.140 -0.0000740 6.170000076293945
"Ross  388" "" "" "" "05 09 09.97" "+15 27 32.5" "Flare Star" M3.5V 33.600 -0.0000540 12.515999794006348
"GJ  3336" "" "" "" "05 10 22.0965" "+48 50 32.148" "Rotationally variable Star" M2.5Ve 72.000 0.0000370 11.366000175476074
"LHS  1743" "" "" "" "05 10 57.47" "+18 37 36.0" "High proper-motion Star" M3.5 57.500 -0.1668420 14.222999572753906
